blk_no,street,bldg_contract_town,lat,lon,postal,full_address
101,SERANGOON NTH AVE 1,SGN,1.37103632,103.8703609,550101,101 SERANGOON NORTH AVENUE 1 HWI YOH COURT SINGAPORE 550101
101,SIMEI ST 1,TAP,1.340849911,103.9514337,520101,101 SIMEI STREET 1 SINGAPORE 520101
101,SPOTTISWOODE PK RD,BM,1.275241413,103.8360458,80101,101 SPOTTISWOODE PARK ROAD SPOTTISWOODE PARK ESTATE SINGAPORE 080101
101,TAMPINES ST 11,TAP,1.347398708,103.9452924,521101,101 TAMPINES STREET 11 SAINT LUKE'S ELDERCARE TAMPINES CENTRE SINGAPORE 521101
101,TECK WHYE LANE,CCK,1.377889646,103.7542399,680101,101 TECK WHYE LANE SINGAPORE 680101
101,TOWNER RD,KWN,1.31942539,103.8610875,322101,101 TOWNER ROAD SINGAPORE 322101
101,WHAMPOA DR,KWN,1.320417102,103.8538139,323101,101 WHAMPOA DRIVE WHAMPOA VIEW SINGAPORE 323101
101,WOODLANDS ST 13,WL,1.435982685,103.7819327,730101,101 WOODLANDS STREET 13 SINGAPORE 730101
101,YISHUN AVE 5,YS,1.430535754,103.8276677,760101,101 YISHUN AVENUE 5 SINGAPORE 760101
101A,BIDADARI PK DR,TP,1.336854622,103.8709963,341101,101A BIDADARI PARK DRIVE ALKAFF COURTVIEW SINGAPORE 341101
101A,CANBERRA ST,SB,1.451738928,103.8304541,751101,101A CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 751101
101A,LOR 2 TOA PAYOH,TP,1.339741267,103.8472642,310101,101A LORONG 2 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310101
101A,PUNGGOL FIELD,PG,1.397946168,103.9059451,821101,101A PUNGGOL FIELD SINGAPORE 821101
101B,CANBERRA ST,SB,1.451663104,103.8311749,752101,101B CANBERRA STREET EASTCREEK @ CANBERRA SINGAPORE 752101
101B,LOR 2 TOA PAYOH,TP,1.339598845,103.8476054,311101,101B LORONG 2 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 311101
101B,PUNGGOL FIELD,PG,1.397847151,103.9064361,822101,101B PUNGGOL FIELD SINGAPORE 822101
101C,PUNGGOL FIELD,PG,1.398090458,103.9065693,823101,101C PUNGGOL FIELD SINGAPORE 823101
101D,PUNGGOL FIELD,PG,1.398484785,103.9061439,824101,101D PUNGGOL FIELD SINGAPORE 824101
102,ALJUNIED CRES,GL,1.32043903,103.8824204,380102,102 ALJUNIED CRESCENT SINGAPORE 380102
102,ANG MO KIO AVE 3,AMK,1.370650092,103.8394103,560102,102 ANG MO KIO AVENUE 3 CHILD AT STREET 11 LTD SINGAPORE 560102
