school_name,address,postal_code,lat,long
HUAMIN PRIMARY SCHOOL,21 YISHUN AVENUE 11   ,768857,1.426972845,103.8442402
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD   ,269734,1.326358062,103.8032904
INNOVA PRIMARY SCHOOL,80 Woodlands Drive 17   ,737888,1.428967007,103.7906075
JIEMIN PRIMARY SCHOOL,2 YISHUN STREET 71   ,768515,1.427688477,103.8304255
JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52   ,569228,1.371964457,103.8517635
JUNYUAN PRIMARY SCHOOL,2 Tampines Street 91   ,528906,1.347870748,103.9392217
JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84   ,528933,1.353613153,103.9338862
JURONG PIONEER JUNIOR COLLEGE,21 Teck Whye Walk   ,688258,1.384374064,103.7543746
JURONG PRIMARY SCHOOL,320 JURONG EAST Street 32   ,609476,1.348438597,103.7331566
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD   ,618652,1.330020322,103.723953
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,1.339175198,103.6988037
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65   ,648348,1.335256347,103.7020989
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1   ,609790,1.351288628,103.7289077
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91   ,649038,1.338722773,103.6873103
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,1.394853561,103.9085726
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,1.3455285,103.7564494
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD   ,127368,1.301227734,103.7648896
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,1.337338194,103.8471485
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,,
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,1.393560505,103.7473627
